Name on the Register,url,Register_number,Coordinates,Neighborhood,Description,Link_works,wiki,latitude,longitude,geometry
DeLamar Mansion,https://en.wikipedia.org/wiki/Joseph_Raphael_De_Lamar_House,83001722,40°44′59″N 73°58′54″W,Murray Hill,,1.0,"The Joseph Raphael De Lamar House is a mansion located at 233 Madison Avenue at the corner of 37th Street in the Murray Hill neighborhood of Manhattan, New York City. It was built in 1902-05, and was designed by C. P. H. Gilbert in the Beaux-Arts style. The De Lamar Mansion marked a stark departure from Gilbert's traditional style of French Gothic architecture and was instead robustly Beaux-Arts, heavy with rusticated stonework, balconies, and a colossal mansard roof. The mansion is the largest in Murray Hill, and one of the most spectacular in the city; the interiors are as lavish as the exterior.",40.4459,-73.5854,POINT (-73.58540000000001 40.4459)
Adelaide L. T. Douglas House,https://en.wikipedia.org/w/index.php?title=Adelaide_L._T._Douglas_House&action=edit&redlink=1,82003373,40°44′57″N 73°58′48″W,Murray Hill,now the Guatemalan Mission to the UN,0.0,now the Guatemalan Mission to the UN,40.4457,-73.5848,POINT (-73.5848 40.4457)
The Emerson,https://en.wikipedia.org/w/index.php?title=The_Emerson&action=edit&redlink=1,09000634,40°46′01″N 73°59′30″W,Hell's Kitchen,,0.0,,40.4601,-73.593,POINT (-73.593 40.4601)
Empire State Building,https://en.wikipedia.org/wiki/Empire_State_Building,82001192,40°44′53″N 73°59′10″W,Koreatown,Seventh tallest building in Manhattan and an international symbol of New York City,1.0,"The Empire State Building is a 102-story Art Deco skyscraper in Midtown Manhattan in New York City, United States. It was designed by Shreve, Lamb & Harmon and built from 1930 to 1931. Its name is derived from ""Empire State"", the nickname of the state of New York. The building has a roof height of 1,250 feet (380 m) and stands a total of 1,454 feet (443.2 m) tall, including its antenna. The Empire State Building stood as the world's tallest building until the construction of the World Trade Center in 1970; following the latter's collapse in 2001, the Empire State Building was again the city's tallest skyscraper until 2012. As of 2020, the building is the seventh-tallest building in New York City, the ninth-tallest completed skyscraper in the United States, the 49th-tallest in the world, and the sixth-tallest freestanding structure in the Americas.
The site of the Empire State Building, in Midtown South on the west side of Fifth Avenue between West 33rd and 34th Streets, was developed in 1893 as the Waldorf–Astoria Hotel. In 1929, Empire State Inc. acquired the site and devised plans for a skyscraper there. The design for the Empire State Building was changed fifteen times until it was ensured to be the world's tallest building. Construction started on March 17, 1930, and the building opened thirteen and a half months afterward on May 1, 1931. Despite favorable publicity related to the building's construction, because of the Great Depression and World War II, its owners did not make a profit until the early 1950s.
The building's Art Deco architecture, height, and observation decks have made it a popular attraction. Around four million tourists from around the world annually visit the building's 86th- and 102nd-floor observatories; an additional indoor observatory on the 80th floor opened in 2019. The Empire State Building is an American cultural icon: it has been featured in more than 250 TV shows and movies since the film King Kong was released in 1933. The building's size has become the global standard of reference to describe the height and length of other structures. A symbol of New York City, the building has been named as one of the Seven Wonders of the Modern World by the American Society of Civil Engineers. It was ranked first on the American Institute of Architects' List of America's Favorite Architecture in 2007. Additionally, the Empire State Building and its ground-floor interior were designated city landmarks by the New York City Landmarks Preservation Commission in 1980, and were added to the National Register of Historic Places as a National Historic Landmark in 1986.",40.4453,-73.591,POINT (-73.59099999999999 40.4453)
Engineering Societies' Building and Engineers' Club,https://en.wikipedia.org/wiki/Engineering_Societies%27_Building_and_Engineers%27_Club,07000867,40°45′09″N 73°59′04″W,Midtown Manhattan,"Consists of the Engineering Societies' Building (25-33 W. 39th St.) and Engineers' Club Building (23 W. 39th St.; 28, 32-34, and 36 W. 40th St.)",1.0,"The Engineering Societies' Building, also known as 25 West 39th Street, is a commercial building at 25–33 West 39th Street in the Midtown Manhattan neighborhood of New York City, United States. Located one block south of Bryant Park, it was constructed in 1907 along with the adjoining Engineers' Club. The building was designed by Herbert D. Hale, of the firm Hale & Rogers, along with Henry G. Morse, in the neo-Renaissance style. It served as the clubhouse of the United Engineering Societies, composed of its three founding societies: the American Society of Mechanical Engineers (ASME), American Institute of Mining Engineers (AIME), and American Institute of Electrical Engineers (AIEE). The American Society of Civil Engineers (ASCE) joined the partnership in 1917.
The Engineering Societies Building's facade is divided into three horizontal sections. The building was originally thirteen stories tall, excluding the second story, which was not visible from the facade. The lowest three stories comprise a rusticated base of limestone, including a colonnade with Doric columns. Above that is a seven-story stone midsection, followed by another loggia similar to that on the base. Inside, the building's first story contains the lobby. The second story is hidden beneath what was originally a double-tiered auditorium with 1,000 seats. The fifth and sixth stories contained several lecture rooms, and the seventh through eleventh stories contained engineering offices; the twelfth and thirteenth stories were devoted to an engineering library. Two stories were added later.
The Engineering Societies' Building was funded by Andrew Carnegie, who in 1904 offered money for a new clubhouse for New York City's various engineering societies. The Engineers' Club did not want to share a building with the other societies, so an architectural design competition was held for two clubhouse buildings. By the 1950s, the Engineering Societies' Building was becoming too small for the engineering societies' needs, and the societies sold the clubhouse in 1960. In the late 20th century, the building was used by fashion firms such as women's clothing retailer Lane Bryant and fashion designer Tommy Hilfiger. The building has been owned by Thor Equities since 2005, and it was added to the National Register of Historic Places in 2007.",40.4509,-73.5904,POINT (-73.5904 40.4509)
ENTERPRISE (space shuttle),https://en.wikipedia.org/wiki/Space_Shuttle_Enterprise,13000071,40°45′56″N 74°00′07″W,Hell's Kitchen,First space shuttle built; was never taken into orbit but helped immensely in development of later vehicles that were. Now on exhibit at Intrepid museum.,1.0,"Space Shuttle Enterprise (Orbiter Vehicle Designation: OV-101) was the first orbiter of the Space Shuttle system. Rolled out on September 17, 1976, it was built for NASA as part of the Space Shuttle program to perform atmospheric test flights after being launched from a modified Boeing 747. It was constructed without engines or a functional heat shield. As a result, it was not capable of spaceflight.Originally, Enterprise had been intended to be refitted for orbital flight to become the second space-rated orbiter in service. However, during the construction of Space Shuttle Columbia, details of the final design changed, making it simpler and less costly to build  Challenger around a body frame that had been built as a test article. Similarly, Enterprise was considered for refit to replace Challenger after the latter was destroyed, but  Endeavour was built from structural spares instead.Enterprise was restored and placed on display in 2003 at the Smithsonian's new Steven F. Udvar-Hazy Center in Virginia. Following the retirement of the Space Shuttle fleet,  Discovery replaced Enterprise at the Udvar-Hazy Center, and Enterprise was transferred to the Intrepid Sea, Air & Space Museum in New York City, where it has been on display since July 2012.",40.4556,-74.0007,POINT (-74.00069999999999 40.4556)
Father Francis D. Duffy Statue and Duffy Square,https://en.wikipedia.org/wiki/Father_Francis_D._Duffy_Statue_and_Duffy_Square,01000243,40°45′32″N 73°59′07″W,Times Square,,1.0,"Duffy Square, named Father Duffy Square in 1939, is the northern triangle of Times Square in Manhattan, in New York City.  It is bounded by 45th and 47th Streets, Broadway and Seventh Avenue. It is now well known for the TKTS reduced-price theater tickets booth located there.
In the 18th and 19th centuries Lowes Lane connected Bloomingdale Road to Eastern Post Road.  The west end of the lane was at the modern Duffy Square, and the east end at approximately the modern Third Avenue and 42nd Street.  Lowes Lane and Eastern Post Road were suppressed late in the 19th century, but Bloomingdale Road survives under the name of Broadway.
Duffy Square was briefly dominated by a fifty-foot, eight-ton plaster statue entitled Purity (Defeat of Slander) by Leo Lentelli in 1909.  Now the square has two statues: a bronze statue of Chaplain Francis P. Duffy of New York's ""Fighting 69th"" Infantry Regiment, after whom the square is named, sculpted by Charles Keck, and another statue depicting composer, playwright, producer and actor George M. Cohan, by sculptor Georg J. Lober. The statue of Duffy was dedicated by Mayor Fiorello LaGuardia on May 2, 1937, who also signed the law authorizing the renaming of the square to ""Father Duffy Square"" on March 29, 1939; on June 13 of that year, the street signs were changed. The statue of Duffy and the square itself were listed on the National Register of Historic Places in 2001.",40.4532,-73.5907,POINT (-73.5907 40.4532)
Film Center Building,https://en.wikipedia.org/wiki/Film_Center_Building,84002768,40°45′35″N 73°59′30″W,Hell's Kitchen,,1.0,"The Film Center Building is a 13-story office building catering to businesses involved in film, theatre, music and audio production and exploitation. It is located at 630 Ninth Avenue between 44th and 45th Streets in the Hell's Kitchen neighborhood of Manhattan, New York City. It was built in 1928–29 and was designed in Art Deco style by Ely Jacques Kahn of the firm of Buchman & Kahn. The building was listed on the National Register of Historic Places in 1984.

",40.4535,-73.593,POINT (-73.593 40.4535)
Flatiron Building,https://en.wikipedia.org/wiki/Flatiron_Building,79001603,40°44′29″N 73°59′27″W,Flatiron District,,1.0,,40.4429,-73.5927,POINT (-73.59269999999999 40.4429)
Fred F. French Building,https://en.wikipedia.org/wiki/Fred_F._French_Building,03001514,40°45′20″N 73°58′47″W,Midtown Manhattan,,1.0,"The Fred F. French Building is a skyscraper at 551 Fifth Avenue on the northeast corner with 45th Street in Midtown Manhattan, New York City. Designed by H. Douglas Ives along with John Sloan and T. Markoe Robertson of the firm Sloan & Robertson, it was erected in 1927. The building is named for Fred F. French, owner of the Fred F. French Companies, for whom the structure was commissioned.
The 38-story building is designed in the Art Deco style, with Middle Eastern influences, and contains numerous setbacks as mandated by the 1916 Zoning Resolution. The facade is mostly designed with brick walls and limestone trim. The base of the facade is ornamented with two bronze entrances and multiple mythological figures, while the top contains a ""tower"" with Mesopotamian style bas-reliefs and faience tiles. Other multicolored details such as ornamental friezes ornament the facade. The Middle Eastern design motifs are also used in the lobby, which contains a polychrome vaulted ceiling.
The Fred F. French Building has approximately 430,000 square feet (40,000 m2) for rent and is owned by The Feil Organization. It was the tallest building on Fifth Avenue as well as one of the most desired addresses on the avenue upon its completion. By the 1990s, it underwent a complete restoration, subsequently earning the Building Owners and Managers Association 1994/1995 Historic Building of the Year Award. The Fred F. French Building and its interior became New York City designated landmarks in 1986, and the building was added to the National Register of Historic Places in 2004.",40.452,-73.5847,POINT (-73.5847 40.452)
FRYING PAN SHOALS LIGHTSHIP NO. 115 (lightship),https://en.wikipedia.org/wiki/Lightship_Frying_Pan,98001615,40°45′00″N 74°00′37″W,Chelsea,,1.0,"Frying Pan (LV-115) is a lightvessel moored at Pier 66a in the Chelsea neighborhood of Manhattan in New York City.  It served at Frying Pan Shoals, off Cape Fear in North Carolina, for over 30 years.",40.45,-74.0037,POINT (-74.00369999999999 40.45)
Garment Center Historic District,"https://en.wikipedia.org/wiki/Garment_District,_Manhattan",08001034,40°45′14″N 73°59′25″W,Garment District,,1.0,"The Garment District, also known as the Garment Center, the Fashion District, or the Fashion Center, is a neighborhood located in the borough of Manhattan in New York City. The dense concentration of fashion-related uses give the neighborhood its name. The neighborhood, less than 1 square mile (2.6 km2), is generally considered to lie between Fifth Avenue and Ninth Avenue, from 34th to 42nd Streets.
The neighborhood is home to many of New York City's showrooms and to numerous major fashion labels, and caters to all aspects of the fashion process from design and production to wholesale selling. The Garment District has been known since the early 20th century as the center for fashion manufacturing and fashion design in the United States, and even the world.",40.4514,-73.5925,POINT (-73.5925 40.4514)
General Electric Building,https://en.wikipedia.org/wiki/General_Electric_Building,03001515,40°45′26″N 73°58′38″W,Rockefeller Center,,1.0,"The General Electric Building (also known as 570 Lexington Avenue) is a skyscraper at the southwestern corner of Lexington Avenue and 51st Street in Midtown Manhattan, New York City. The building, designed by Cross & Cross and completed in 1931, was known as the RCA Victor Building during its construction. The General Electric Building is sometimes known by its address to avoid confusion with 30 Rockefeller Plaza, which was once known as the GE Building.
570 Lexington Avenue contains a 50-floor, 640-foot-tall (200 m) stylized Gothic octagonal brick tower, with elaborate Art Deco decorations of lightning bolts showing the power of electricity. The tower is set back from the round-cornered base with elaborate masonry and architectural figural sculpture. The building was designed to blend with the low Byzantine dome of the adjacent St. Bartholomew's Episcopal Church on Park Avenue, with the same brick coloring and architectural terracotta decoration. The crown of the building, an example of Gothic tracery, is intended to represent electricity and radio waves. On the corner above the building's main entrance is a clock with the cursive GE logo and a pair of disembodied silver arms holding bolts of electricity.
Plans for the building were announced in 1929, and it was completed two years later. The project was originally commissioned for RCA, then a subsidiary of General Electric (GE). RCA moved to 30 Rockefeller Plaza midway through construction, and 570 Lexington Avenue was conveyed to GE as part of an agreement in which RCA and GE split their properties. GE had its headquarters at 570 Lexington Avenue between 1933 and 1974, and retained ownership until 1993, when the building was donated to Columbia University. The building was extensively renovated by Ernest de Castro of the WCA Design Group in the 1990s. It was designated a New York City landmark in 1985 and was added to the National Register of Historic Places in 2004.",40.4526,-73.5838,POINT (-73.5838 40.4526)
General Society of Mechanics and Tradesmen,https://en.wikipedia.org/wiki/General_Society_of_Mechanics_and_Tradesmen_of_the_City_of_New_York,08001048,40°45′19″N 73°58′53″W,Midtown Manhattan,,1.0,"The General Society of Mechanics and Tradesmen of the City of New York, was founded on November 17, 1785, by 22 men who gathered in Walter Heyer's public-house at No. 75 King Street (now Pine Street), one block from Wall Street, in Lower Manhattan.  The aims of the General Society were to provide cultural, educational and social services to families of skilled craftsmen. The General Society during this early period celebrated the mutuality and centrality of the craft community. Besides its charitable activities, the society played a prominent part in the festivities that marked patriotic holidays, carrying banners emblazoned with its slogan 'By hammer and hand all arts do stand', echoing the motto of the Worshipful Company of Blacksmiths.
The city of New York and the Society both benefited from the decision to make New York the seat of the Federal Government. In 1789, legislators and their assistants and families began to pour into the city. Business prospects brightened considerably. In 1792, the Society attained a membership of 413, and received a charter of incorporation. Old documents reveal that the Society was quite active in the last years of the 18th century, corresponding with other business related associations, and petitioning the state legislature in the interests of industrial progress.",40.4519,-73.5853,POINT (-73.5853 40.4519)
George Washington Hotel,https://en.wikipedia.org/wiki/George_Washington_Hotel_(New_York_City),10000393,40°44′23″N 73°59′03″W,Rose Hill,"1930 Renaissance Revival apartment hotel, recently restored to that use, is the last major one from that era.",1.0,"1930 Renaissance Revival apartment hotel, recently restored to that use, is the last major one from that era.",40.4423,-73.5903,POINT (-73.5903 40.4423)
Germania Life Insurance Company Building,https://en.wikipedia.org/wiki/Germania_Life_Insurance_Company_Building,01000556,40°44′12″N 73°59′21″W,Union Square,,1.0,"The W New York Union Square is a 270-room, 21-story boutique hotel operated by W Hotels at the northeast corner of Park Avenue South and 17th Street, across from Union Square in Manhattan, New York. Originally known as the Germania Life Insurance Company Building, it was designed by Albert D'Oench and Joseph W. Yost and built in 1911 in the Beaux-Arts style. 
The W New York Union Square building was initially the headquarters of the Germania Life Insurance Company. In 1917, when the company became the Guardian Life Insurance Company of America, the building was renamed the Guardian Life Insurance Company Building. A four-story annex to the east was designed by Skidmore, Owings & Merrill and was completed in 1961. Guardian Life moved its offices out of the building in 1999, and the W New York Union Square opened the following year.
The main building, part of the hotel, was added to the National Register of Historic Places in 2001, and was designated a city landmark by the New York City Landmarks Preservation Commission in 1988. The Guardian Life annex, not part of the current hotel, was designated as a city landmark in 2007.",40.4412,-73.5921,POINT (-73.5921 40.4412)
Gilsey Hotel,https://en.wikipedia.org/wiki/Gilsey_Hotel,78001872,40°44′45″N 73°59′19″W,NoMad,,1.0,"Gilsey House is a former eight-story 300-room hotel located at 1200 Broadway at West 29th Street in the NoMad neighborhood of Manhattan, New York City.  It is a New York City landmark and on the National Register of Historic Places.",40.4445,-73.5919,POINT (-73.5919 40.4445)
Gramercy Park Historic District,https://en.wikipedia.org/wiki/Gramercy_Park_Historic_District,80002691,40°44′16″N 73°59′10″W,Gramercy Park,,1.0,"Gramercy Park () is the name of both a small, fenced-in private park and the surrounding neighborhood that is referred to also as Gramercy, in the New York City borough of Manhattan in New York, United States.The approximately 2-acre (0.8 ha) park, located in the Gramercy Park Historic District, is one of two private parks in New York City – the other is Sunnyside Gardens Park in Queens – as well as one of only three in the state; only people residing around the park who pay an annual fee have a key, and the public is not generally allowed in – although the sidewalks of the streets around the park are a popular jogging, strolling, and dog-walking route.
The neighborhood is mostly located within Manhattan Community District 6, with a small portion in Community District 5. It is generally perceived to be a quiet and safe area.The neighborhood, associated historic district, and park have generally received positive reviews. Calling it ""a Victorian gentleman who has refused to die"", Charlotte Devree in The New York Times said that ""There is nothing else quite like Gramercy Park in the country."" When the New York City Landmarks Preservation Commission created the Gramercy Park Historic District in 1966, they quoted from John B. Pine's 1921 book, The Story of Gramercy Park:

The laying out of Gramercy Park represents one of the earliest attempts in this country at 'City Planning'. ... As a park given to the prospective owners of the land surrounding it and held in trust for those who made their homes around it, Gramercy Park is unique in this City, and perhaps in this country, and represents the only neighborhood, with possibly one exception, which has remained comparatively unchanged for eighty years – the Park is one of the City's Landmarks.",40.4416,-73.591,POINT (-73.59099999999999 40.4416)
Grand Central Terminal,https://en.wikipedia.org/wiki/Grand_Central_Terminal,75001206,40°45′10″N 73°58′35″W,Midtown Manhattan,1913 Beaux Arts landmark still used by Metro-North Railroad. Construction helped trigger development of Park Avenue.,1.0,"Grand Central Terminal (GCT; also referred to as Grand Central Station or simply as Grand Central) is a commuter rail terminal located at 42nd Street and Park Avenue in Midtown Manhattan, New York City. Grand Central is the southern terminus of the Metro-North Railroad's Harlem, Hudson and New Haven Lines, serving the northern parts of the New York metropolitan area. It also contains a connection to the New York City Subway at Grand Central–42nd Street station. The terminal is the second-busiest train station in North America, after New York Penn Station.
The distinctive architecture and interior design of Grand Central Terminal's station house have earned it several landmark designations, including as a National Historic Landmark. Its Beaux-Arts design incorporates numerous works of art. Grand Central Terminal is one of the world's ten most visited tourist attractions, with 21.6 million visitors in 2018, excluding train and subway passengers. The terminal's Main Concourse is often used as a meeting place, and is especially featured in films and television. Grand Central Terminal contains a variety of stores and food vendors, including upscale restaurants and bars, two food halls, and a grocery marketplace.
Grand Central Terminal was built by and named for the New York Central Railroad; it also served the New York, New Haven and Hartford Railroad and, later, successors to the New York Central. Opened in 1913, the terminal was built on the site of two similarly-named predecessor stations, the first of which dates to 1871. Grand Central Terminal served intercity trains until 1991, when Amtrak began routing its trains through nearby Penn Station. The East Side Access project, which will bring Long Island Rail Road service to a new station beneath the terminal, is expected to be completed in late 2022.
Grand Central covers 48 acres (19 ha) and has 44 platforms, more than any other railroad station in the world. Its platforms, all below ground, serve 30 tracks on the upper level and 26 on the lower. In total, there are 67 tracks, including a rail yard and sidings; of these, 43 tracks are in use for passenger service, while the remaining two dozen are used to store trains. Another eight tracks and four platforms are being built on two new levels deep underneath the existing station as part of East Side Access.",40.451,-73.5835,POINT (-73.5835 40.451)
Grand Central Terminal Park Avenue Viaduct,https://en.wikipedia.org/wiki/Grand_Central_Terminal_Park_Avenue_Viaduct,83001726,40°44′59″N 73°58′40″W,Pershing Square,Elevated roadway bringing Park Avenue around Grand Central Terminal,1.0,"The Park Avenue Viaduct, also known as the Pershing Square Viaduct, is a roadway in Manhattan in New York City.  It carries vehicular traffic on Park Avenue from 40th to 46th Streets around Grand Central Terminal and the MetLife Building, then through the Helmsley Building. All three buildings lie across the north–south line of the avenue. The viaduct itself is composed of two sections: a steel viaduct with two roadways from 40th to 42nd Streets, as well as a pair of roadways between 42nd and 46th Streets. The section from 40th to 42nd Streets was designated a New York City landmark in 1980 and was listed on the National Register of Historic Places in 1983. The street-level service roads of Park Avenue, which flank the viaduct between 40th and 42nd Streets, are called Pershing Square.
The viaduct was first proposed by New York Central Railroad president William J. Wilgus in 1900 as part of the construction of Grand Central Terminal. Construction on the viaduct's western leg began in 1917, after the terminal had opened, and was complete in 1919. The western leg initially carried two-way traffic, so the eastern leg was completed for northbound traffic in 1928, and the western leg was reconfigured to carry southbound traffic only. An information booth was established in 1939 beneath the viaduct, and the city renovated the viaduct in the early 1990s.",40.4459,-73.584,POINT (-73.584 40.4459)
Grand Hotel,"https://en.wikipedia.org/wiki/Grand_Hotel_(New_York,_New_York)",83001725,40°44′50″N 73°59′19″W,NoMad,,1.0,"The Grand Budapest Hotel is a 2014 comedy-drama film written and directed by Wes Anderson. Ralph Fiennes leads a seventeen-actor ensemble cast as Monsieur Gustave H., famed concierge of a twentieth-century mountainside resort in the fictional country of Zubrowka. When Gustave is framed for the murder of a wealthy dowager (Tilda Swinton), he and his recently befriended protégé Zero (Tony Revolori) embark on a quest for fortune and a priceless Renaissance painting amidst the backdrop of an encroaching fascist regime. Anderson's American Empirical Pictures produced the film in association with Studio Babelsberg, Fox Searchlight Pictures, and Indian Paintbrush's Scott Rudin and Steven Rales. Fox Searchlight supervised the commercial distribution, and The Grand Budapest Hotel's funding was sourced through Indian Paintbrush and German government-funded tax rebates.
Anderson and longtime collaborator Hugo Guinness conceived The Grand Budapest Hotel as a fragmented tale following a character inspired by a common friend. They initially struggled in their brainstorming, but the experience touring Europe and researching the literature of Austrian novelist Stefan Zweig shaped their vision for the film. The Grand Budapest Hotel draws visually from Europe-set mid-century Hollywood films and the Library of Congress's photochrom print collection of alpine resorts. Principal photography took place in eastern Germany from January to March 2013. French composer Alexandre Desplat composed the symphonic, Russian folk-inspired score, which expanded on his early work with Anderson. The film explores themes of fascism, nostalgia, friendship, and loyalty, and further studies emphasize the function of color as an important storytelling device.
The Grand Budapest Hotel premiered in competition at the 64th Berlin International Film Festival on February 6, 2014. The French theatrical release on February 26 preceded the film's global rollout, followed by releases in Germany, North America, and the United Kingdom on March 6–7. The Grand Budapest Hotel received widespread acclaim for its craftsmanship, acting, and comedy; occasional criticism centered on the film's approach to the subject matter, fragmented storytelling, and characterization. It earned US$172.9 million in box office revenue worldwide, Anderson's highest grossing feature to date. The film led the 87th Academy Awards season with nine nominations (winning four), and earned several other accolades, chiefly for writing and technical achievement.",40.445,-73.5919,POINT (-73.5919 40.445)
Greenacre Park,https://en.wikipedia.org/wiki/Greenacre_Park,10000207,40°45′23″N 73°58′09″W,Midtown East,"Small park with modernist design in mid-block, built 1971 on land donated by Abby Rockefeller Mauzé, is an early pocket park",1.0,"Greenacre Park is a privately owned, publicly accessible vest-pocket park located on East 51st Street between Second and Third Avenues in the Turtle Bay neighborhood of Manhattan, New York City, designed by Hideo Sasaki, former chairman of Harvard’s Dept. of Landscape Arch., in consultation with architect Harmon Goldstone. The park, which is owned by Greenacre Foundation, was a 1971 gift from Abby Rockefeller Mauzé, the philanthropist, the daughter of John D. Rockefeller Jr. and the granddaughter of John D Rockefeller.The 6,360-square-foot (591 m2) park was assembled from three lots, which had previously been occupied by a store, a garage, and part of a synagogue.  It features a 25-foot (7.6 m) waterfall, a trellis with heat lamps for chilly days, chairs and tables, as well as honey locust trees, azaleas, and pansies, which together attract an average of 700 visitors a day.In 1980, when a planned building would have blocked the park's sunlight, a campaign was launched to block the construction of the building. Then, in May 2017, a city rezoning plan, which would allow the building of taller buildings nearby the park, caused a controversy when the Greenacre Foundation claimed that the taller buildings would put the park in shadow a great deal of time.  A city shadow study indicated that the park would not be adversely affected by the rezoning, but a study commissioned by the Foundation claimed that buildings on six particular sites could put the park completely in the dark; because of this the Foundation called for height limitations on those sites.  As of May 2017, their ""Fight for Light"" campaign is supported by the Municipal Art Society, Manhattan Borough President Gale Brewer, New Yorkers for Parks, and Daniel R. Garodnick, the city councilman in whose district the park is located.In 2018, it was listed on the National Register of Historic Places.",40.4523,-73.5809,POINT (-73.5809 40.4523)
Greenwich Savings Bank,https://en.wikipedia.org/wiki/Greenwich_Savings_Bank_Building,05001286,40°45′05″N 73°59′15″W,Near Herald Square,,1.0,"The Greenwich Savings Bank was an American savings bank based in New York City that operated from 1833 to 1981. At the time of its closure in 1981, it was the 16th largest bank in the U.S. by total deposits.",40.4505,-73.5915,POINT (-73.5915 40.4505)
Harvard Club of New York City,https://en.wikipedia.org/wiki/Harvard_Club_of_New_York_City,80002693,40°45′18″N 73°58′53″W,Midtown Manhattan,,1.0,"The Harvard Club of New York City, commonly called  The Harvard Club, is a private social club located in Midtown Manhattan, New York City. Its membership is limited to alumni, faculty, and boardmembers of Harvard University.
Incorporated in 1887, it is housed in adjoining lots at 27 West 44th Street and 35 West 44th Street. The original wing, built in 1894, was designed in red brick neo-Georgian style by Charles Follen McKim of McKim, Mead & White.",40.4518,-73.5853,POINT (-73.5853 40.4518)
Hotel Chelsea,https://en.wikipedia.org/wiki/Hotel_Chelsea,77000958,40°44′35″N 73°59′39″W,Chelsea,,1.0,"The Hotel Chelsea (also the Chelsea Hotel or the Chelsea) is a hotel in Manhattan, New York City, built between 1883 and 1885. The 250-unit hotel is located at 222 West 23rd Street, between Seventh and Eighth Avenues, in the neighborhood of Chelsea.
It has been the home of numerous writers, musicians, artists and actors. Though the Chelsea no longer accepts new long-term residents, the building is still home to many who lived there before the change in policy. Arthur C. Clarke wrote 2001: A Space Odyssey while staying at the Chelsea, and poets Allen Ginsberg and Gregory Corso chose it as a place for philosophical and artistic exchange. It is also known as the place where the writer Dylan Thomas was staying in room 205 when he became ill and died several days later, in a local hospital, of pneumonia on November 9, 1953, and where Nancy Spungen, girlfriend of Sid Vicious of the Sex Pistols, was found stabbed to death on October 12, 1978. Arthur Miller wrote a short piece, ""The Chelsea Affect"", describing life at the Chelsea Hotel in the early 1960s.The building has been a designated New York City landmark since 1966, and on the National Register of Historic Places since 1977.",40.4435,-73.5939,POINT (-73.5939 40.4435)
Hotel Gerard,https://en.wikipedia.org/wiki/Hotel_Gerard,83001729,40°45′48″N 73°59′34″W,Midtown Manhattan,,1.0,"The Hotel Gerard, also known as the Hotel Langwell and Hotel 1-2-3, is a historic hotel located in New York, New York. The building was designed by George Keister and built in 1893. It is a 13-story, ""U""-shaped, salmon colored brick and limestone building with German Renaissance style design elements. The front facade features bowed pairs of bay windows from the third to the sixth floor and the building is topped by steeply pointed front gables and a highly decorated dormer. It was originally built as an apartment hotel.: 2, 4 The hotel is located at 123 West 44th Street, next door to the Belasco Theatre.
It was added to the National Register of Historic Places on February 10, 1983.",40.4548,-73.5934,POINT (-73.5934 40.4548)
House at 146 East 38th Street,https://en.wikipedia.org/w/index.php?title=House_at_146_East_38th_Street&action=edit&redlink=1,08000450,40°44′55″N 73°58′37″W,Murray Hill,,0.0,"The New York City borough of Manhattan contains 214 numbered east–west streets ranging from 1st to 228th, the majority of them designated in the Commissioners' Plan of 1811. These streets do not run exactly east–west, because the grid plan is aligned with the Hudson River, rather than with the cardinal directions. Thus, the majority of the Manhattan grid's ""west"" is approximately 29 degrees north of true west; the angle differs above 155th Street, where the grid initially ended. The grid now covers the length of the island from 14th Street north.
All numbered streets carry an East or West prefix – for example, East 10th Street or West 10th Street – which is demarcated at Broadway below 8th Street, and at Fifth Avenue at 8th Street and above. The numbered streets carry crosstown traffic. In general, but with numerous exceptions, even-numbered streets are one-way eastbound and odd-numbered streets are one-way westbound. Most wider streets, and a few of the narrow ones, carry two-way traffic.
Although the numbered streets begin just north of East Houston Street in the East Village, they generally do not extend west into Greenwich Village, which already had established, named streets when the grid plan was laid out by the Commissioners' Plan of 1811. Some streets in that area that do continue farther west change direction before reaching the Hudson River.
The highest numbered street on Manhattan Island is 220th Street, but Marble Hill is also within the borough of Manhattan, so the highest street number in the borough is 228th Street. The numbering system continues in the Bronx, up to 263rd Street, though east of Van Cortlandt Park the system ends at 243rd Street. The lowest numbered street in Manhattan is East 1st Street, which runs through Alphabet City near East Houston Street. There is also a First Place in Battery Park City.",40.4455,-73.5837,POINT (-73.58369999999999 40.4455)
House at 17 West 16th Street,https://en.wikipedia.org/w/index.php?title=House_at_17_West_16th_Street&action=edit&redlink=1,83001730,40°44′16″N 73°59′38″W,Chelsea,,0.0,"16th Street Northwest is a prominent north–south thoroughfare in the northwest quadrant of Washington, D.C. Part of Pierre L'Enfant's design for the city, 16th Street begins just north of the White House across Lafayette Park at H Street and continues due north in a straight line passing K Street, Scott Circle, Meridian Hill Park, Rock Creek Park, and the Walter Reed Army Medical Center before crossing Eastern Avenue into Silver Spring, Maryland, where it ends at Georgia Avenue. From K Street to the District line, 16th Street is part of the National Highway System. The Maryland portion of the street is designated Maryland State Highway 390. The entire street is 6.4 miles (10.3 km) long.The Washington meridian, a prime meridian once in use in the United States, follows the street. Part of the street is listed on the National Register of Historic Places as Sixteenth Street Historic District. In June 2020, the section immediately north of the White House was renamed Black Lives Matter Plaza.",40.4416,-73.5938,POINT (-73.5938 40.4416)
